# host => MIC
# size	Tx (MB/s)	Rx (MB/s)
1	0.53		0.24
2	1.00		0.53
4	1.33		1.15
8	3.76		2.70
16	7.38		5.21
32	14.26		9.35
64	26.71		17.62
128	53.29		37.15
256	82.90		65.49
512	113.17		103.71
1024	167.66		134.33
2048	184.33		181.51
4096	193.03		220.30
8192	185.46		233.29
16384	166.74		231.08
32768	153.34		204.78
65536	158.53		216.15
131072	159.73		256.33
262144	157.88		274.58
524288	161.86		277.28
1048576	159.81		287.95
2097152	161.28		288.45
4194304 160.51		273.55
