#results of scif_readfrom
bytes	MBytes/sec
64	5.349802
128	10.693467
256	21.405815
512	42.772617
1024	85.065820
2048	154.914710
4096	263.156307
8192	405.441876
16384	559.494784
32768	692.280217
65536	785.980616
131072	845.844131
262144	877.439420
524288	893.162693
1048576	903.109136
2097152	907.681577
4194304	909.544876
