#bytes	MBytes/sec
64	5.354858
128	10.706145
256	21.383370
512	42.812640
1024	85.492687
2048	170.181490
4096	261.883564
8192	273.554815
16384	273.960728
32768	273.548347
65536	273.550877
131072	273.667780
262144	274.016535
524288	280.510735
1048576	274.852534
2097152	274.774098
4194304	273.542608
