#bytes	MBytes/sec
64	21.889587
128	43.339488
256	85.299541
512	167.109296
1024	326.017839
2048	620.788455
4096	1138.418798
8192	1780.685966
16384	2757.265786
32768	3867.939689
65536	4876.676057
131072	5602.631763
262144	6044.251244
524288	6300.046573
1048576	6418.676320
2097152	6499.989772
4194304	6539.716227
